Designator,Mid X,Mid Y,Rotation,Layer
R17,55.12,-74.965,90.0,bottom
R18,50.65,-74.945,90.0,bottom
R19,59.58,-70.715,90.0,bottom
R2,84.01,-82.62,0.0,bottom
R20,55.15,-70.72,90.0,bottom
R21,50.65,-70.695,90.0,bottom
R22,50.68,-66.465,90.0,bottom
R23,65.09,-58.225,270.0,bottom
R24,65.08,-62.72,270.0,bottom
R25,59.59,-66.455,90.0,bottom
R26,55.12,-66.445,90.0,bottom
R27,65.0875,-53.6825,270.0,bottom
R28,70.61,-58.135,270.0,bottom
R3,60.225,-82.8,0.0,bottom
R4,61.725,-82.81,0.0,bottom
R5,72.975,-69.125,90.0,bottom
R6,77.8,-83.98,180.0,bottom
R7,72.8,-85.0,90.0,bottom
R8,73.575,-85.005,90.0,bottom
R9,59.6,-87.555,90.0,bottom
SW1,60.87,-79.295,270.0,bottom
SW2,84.13,-79.295,90.0,bottom
U1,68.705,-86.37,180.0,bottom
U10,61.735,-73.625,90.0,bottom
U11,57.275,-73.605,90.0,bottom
U12,52.82,-73.5725,90.0,bottom
U13,61.725,-69.3675,90.0,bottom
U14,57.275,-69.3625,90.0,bottom
U15,52.8,-69.35,90.0,bottom
U16,52.835,-65.1075,90.0,bottom
U17,67.225,-56.7125,90.0,bottom
U18,67.2125,-60.975,90.0,bottom
U19,61.715,-65.1225,90.0,bottom
U2,72.5,-76.0,180.0,bottom
U20,57.27,-65.1225,90.0,bottom
U21,67.2125,-52.325,90.0,bottom
U22,72.775,-56.7625,90.0,bottom
U23,72.785,-52.3925,90.0,bottom
U24,78.475,-52.43,90.0,bottom
U25,78.5,-56.6875,90.0,bottom
U26,88.4375,-65.075,90.0,bottom
U27,84.0375,-65.05,90.0,bottom
U28,78.5,-60.9125,90.0,bottom
U29,88.4175,-69.305,90.0,bottom
U3,61.7425,-86.215,90.0,bottom
U30,84.0175,-69.28,90.0,bottom
U31,92.85,-65.0875,90.0,bottom
U32,88.425,-73.5625,90.0,bottom
U33,84.025,-73.5375,90.0,bottom
U34,92.83,-69.3425,90.0,bottom
U35,92.8375,-77.7625,90.0,bottom
U36,92.825,-73.5875,90.0,bottom
